age,hours_per_day,while_working,instrumentalist,exploratory,tempo,frequency_classical,frequency_country,frequency_edm,frequency_folk,frequency_gospel,frequency_hiphop,frequency_jazz,frequency_kpop,frequency_latin,frequency_lofi,frequency_metal,frequency_pop,frequency_rnb,frequency_rock,anxiety,depression,insomnia,music_effects,streaming_service_Other,streaming_service_Spotify,streaming_service_YouTube Music,fav_genre_Country,fav_genre_EDM,fav_genre_Folk,fav_genre_Gospel,fav_genre_Hip-Hop,fav_genre_Jazz,fav_genre_K-Pop,fav_genre_Latin,fav_genre_Lofi,fav_genre_Metal,fav_genre_Pop,fav_genre_R&B,fav_genre_Rock
-0.3,0.0,1,1,1,156.0,1,0,1,0,0,2,0,3,3,1,0,3,2,0,3,0,1,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
4.2,-0.5,1,0,1,119.0,2,0,0,1,2,1,3,1,2,1,0,2,2,3,7,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,0.3333333333333333,0,0,0,132.0,0,0,3,0,0,1,1,3,0,2,2,1,0,1,7,7,10,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.0,-0.16666666666666666,1,0,1,84.0,2,0,0,1,2,0,3,2,3,2,0,2,2,0,9,7,3,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,0,1,107.0,0,0,1,0,1,3,0,3,2,2,0,2,3,0,7,2,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,0.6666666666666666,1,1,1,86.0,1,2,0,0,0,2,3,3,1,3,1,3,3,3,8,8,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.3,0.0,1,1,1,66.0,2,0,1,2,1,1,2,0,1,1,1,1,1,0,4,8,6,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0.0,-0.6666666666666666,1,0,1,95.0,0,0,1,0,0,3,1,3,0,2,0,2,2,0,5,3,5,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.2,1.0,1,0,0,94.0,0,3,0,2,0,0,0,0,0,0,3,0,0,3,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,-0.6666666666666666,1,0,1,155.0,1,1,1,1,2,1,1,0,1,1,0,2,2,2,2,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,0.0,1,1,1,40.0,0,3,0,0,0,0,0,0,0,0,0,1,1,1,7,7,4,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.2,1.6666666666666667,1,0,1,125.0,1,0,3,0,0,2,1,1,1,1,0,1,1,1,1,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.0,0.0,1,0,1,40.0,1,0,1,0,0,3,0,2,0,3,0,2,2,1,9,3,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.2,-0.3333333333333333,1,0,1,88.0,0,3,1,2,0,2,0,0,0,1,0,1,0,0,2,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,1,1,148.0,3,1,0,0,0,0,3,0,2,1,2,2,0,2,6,4,7,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.4,-0.3333333333333333,0,0,1,40.0,1,1,0,0,0,2,1,1,1,1,1,3,1,2,7,5,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.5,1.6666666666666667,1,0,1,103.0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,8,8,4,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.5,3.0,1,0,1,120.0,1,0,2,1,0,3,1,0,0,0,2,2,1,3,5,7,10,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.4,4.333333333333333,1,0,1,99.0,1,0,0,0,0,2,2,2,1,0,2,1,2,3,7,5,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.6,0.0,0,0,0,120.0,0,0,0,0,0,3,1,0,0,0,1,1,2,1,7,3,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.6,1.6666666666666667,1,0,1,120.0,1,0,2,1,0,3,2,3,2,1,1,3,1,2,6,9,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.4,0.3333333333333333,1,0,1,125.0,0,1,1,0,0,2,0,0,0,1,1,2,0,2,10,10,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.2,0.6666666666666666,1,0,1,118.0,1,1,2,3,1,3,2,0,0,1,1,1,3,2,6,7,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,-0.3333333333333333,1,0,0,79.0,1,1,2,0,0,1,0,1,2,0,0,3,0,0,3,3,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.5,0.0,1,1,1,84.0,1,1,0,1,2,2,2,0,1,0,2,0,2,3,10,6,8,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,-0.3333333333333333,0,0,1,169.0,2,1,1,3,1,1,1,3,0,2,0,3,2,2,7,4,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.7,3.0,1,1,1,136.0,2,2,1,1,1,3,2,0,0,3,0,3,3,3,8,6,10,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,1.0,1,1,0,101.0,2,1,1,1,1,2,2,0,0,0,0,3,2,0,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,-0.3333333333333333,1,1,1,126.0,0,3,1,1,0,0,1,2,3,1,1,3,1,2,6,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,-0.6666666666666666,1,0,1,183.0,1,0,0,1,0,0,2,0,0,0,2,2,0,2,8,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1,0.6666666666666666,1,1,1,40.0,0,1,1,3,0,3,2,0,2,2,3,2,2,3,7,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,-0.3333333333333333,1,0,0,120.0,3,0,0,0,0,1,1,0,0,2,0,3,0,0,4,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2,1.0,1,1,1,40.0,0,0,0,1,0,1,2,1,0,2,3,2,0,2,9,8,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.4,0.3333333333333333,0,0,1,142.0,1,1,1,3,0,2,1,1,0,1,1,3,1,3,5,6,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.5,-0.6666666666666666,1,0,0,75.0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.6666666666666666,1,1,1,120.0,2,1,2,1,2,2,1,2,1,2,1,3,2,1,3,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.0,0.3333333333333333,1,0,0,89.0,0,0,1,0,0,2,0,1,1,0,0,3,0,0,6,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,0.0,1,0,1,40.0,0,0,2,0,0,3,1,2,0,0,1,3,2,3,2,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.5,-0.8333333333333334,0,0,0,140.0,1,0,1,2,0,0,1,0,0,0,0,1,0,3,9,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.1,0.3333333333333333,1,0,1,161.0,1,1,3,2,1,2,1,2,0,2,1,3,3,3,7,2,8,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
0.2,-0.3333333333333333,1,1,1,80.0,2,1,0,1,2,0,2,1,1,1,1,2,2,2,4,2,3,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.6666666666666666,1,1,1,130.0,3,0,0,2,0,2,2,1,0,2,3,2,1,3,7,6,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.6,-0.9166666666666666,0,0,1,147.0,3,1,0,1,0,1,2,0,1,0,0,3,2,2,3,2,10,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.4,0.0,1,0,1,120.0,3,0,3,0,0,3,2,2,1,2,0,2,3,1,6,6,8,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,0,1,77.0,1,0,0,0,0,3,1,0,0,0,3,2,2,3,1,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.4,-0.6666666666666666,1,1,0,118.0,0,2,1,3,0,1,0,0,1,1,1,1,1,2,7,3,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1.5,-0.6666666666666666,0,1,0,132.0,3,2,0,1,0,0,0,0,0,0,2,1,0,2,8,9,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,0.0,1,0,1,115.0,1,0,1,2,0,0,0,1,0,3,1,2,0,3,9,6,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,0.6666666666666666,1,0,1,157.0,0,0,1,1,0,3,1,0,1,1,3,2,1,3,7,9,5,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2,0.0,1,0,0,90.0,2,1,2,0,0,3,2,1,0,2,1,3,2,2,7,4,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.4,-0.3333333333333333,1,1,1,128.0,0,1,3,0,0,1,0,0,1,1,3,2,2,3,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.5,1.0,1,0,1,169.0,1,0,0,1,2,3,1,3,3,3,0,2,3,1,7,8,7,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2,-0.6666666666666666,0,0,0,140.0,2,1,2,1,0,3,3,0,0,0,2,1,1,3,10,6,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,3.0,1,0,1,96.0,3,1,0,3,0,1,2,1,1,1,0,3,2,1,3,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1,0.3333333333333333,1,0,1,126.0,1,0,1,2,0,1,1,0,0,1,2,3,2,3,8,7,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.5,-0.3333333333333333,1,1,1,40.0,3,0,0,0,0,1,2,0,0,0,0,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,1.0,1,0,1,91.0,1,0,0,1,0,0,0,0,0,0,3,1,0,3,8,6,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2.1,-1.0,1,0,0,40.0,1,1,0,0,0,0,1,0,0,0,2,1,1,2,9,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.2,1.3333333333333333,1,0,1,55.0,1,3,0,3,3,2,1,0,1,0,2,2,1,1,6,4,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.2,-0.6666666666666666,1,1,0,85.0,2,2,2,1,0,1,2,1,1,3,0,2,3,2,7,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
-0.2,-0.6666666666666666,0,1,1,160.0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,10,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0.1,-0.6666666666666666,0,1,1,108.0,1,0,2,1,0,0,3,0,0,0,0,2,1,3,8,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.6,-0.3333333333333333,1,1,0,156.0,0,0,1,1,0,0,0,0,0,1,2,2,0,3,3,2,6,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.4,-0.3333333333333333,0,0,0,170.0,1,1,1,2,0,1,0,1,0,1,3,2,0,3,5,5,3,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.1,0.6666666666666666,1,0,0,91.0,2,0,1,2,0,2,1,1,0,0,3,3,3,3,10,10,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1.5,1.0,1,0,1,174.0,3,0,1,3,0,0,0,2,0,1,3,1,0,2,5,4,10,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.3,0.0,0,0,1,130.0,2,2,0,1,0,0,1,0,1,0,3,3,0,3,0,0,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.8,0.3333333333333333,0,0,1,140.0,1,2,1,0,1,3,1,1,1,1,0,2,2,2,8,8,5,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.0,0.0,1,1,1,130.0,2,0,2,0,0,1,1,0,0,2,2,2,0,1,10,7,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1.5,-0.3333333333333333,1,1,1,127.0,2,1,3,2,1,1,3,0,0,0,3,2,1,3,7,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.0,1,0,1,160.0,1,2,2,1,0,2,1,0,2,2,2,2,3,3,8,7,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
1.0,-0.3333333333333333,1,0,1,40.0,0,2,0,1,2,0,2,1,0,0,2,3,0,3,10,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.5,0.3333333333333333,1,0,0,40.0,2,1,1,2,0,1,1,1,1,2,2,3,1,3,9,8,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.5,-0.3333333333333333,1,1,1,165.0,1,1,3,1,1,3,1,1,1,1,1,2,1,3,6,3,1,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.1,-0.8333333333333334,0,0,0,113.0,2,0,0,0,0,3,1,0,1,0,0,2,2,0,7,7,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.5,0.6666666666666666,1,1,1,167.0,2,1,0,0,1,1,3,3,1,0,0,3,1,2,7,7,8,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-0.4,0.6666666666666666,1,0,1,95.0,0,2,1,1,0,0,0,0,0,0,3,1,0,3,4,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.2,2.3333333333333335,1,0,1,110.0,0,1,3,0,0,2,0,3,0,0,0,1,3,0,7,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
-0.3,-0.3333333333333333,0,0,0,150.0,2,1,3,0,1,1,1,0,0,2,0,3,1,1,9,0,5,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
-0.3,0.3333333333333333,1,0,1,93.0,0,0,1,0,0,3,2,2,1,2,0,3,3,2,2,7,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
-0.2,0.6666666666666666,0,1,1,90.0,1,0,0,1,0,2,3,0,3,1,2,1,2,3,10,8,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.0,1,0,1,118.0,1,0,1,0,0,3,3,1,2,3,0,2,2,1,3,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
0.1,-0.3333333333333333,1,0,1,126.0,0,0,3,0,0,2,0,3,0,0,0,2,0,3,7,8,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
-0.5,-0.16666666666666666,1,1,1,103.0,1,2,0,3,0,1,2,0,2,2,1,3,1,3,2,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.0,1,0,1,77.0,1,0,2,0,0,3,1,3,1,1,1,3,3,1,5,4,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.6,-0.6666666666666666,1,0,0,115.0,1,1,1,1,0,1,1,1,0,1,1,2,1,3,9,10,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.7,1.3333333333333333,1,1,0,110.0,1,0,3,0,0,0,3,0,2,0,0,2,0,3,2,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1.2,-0.6666666666666666,0,0,0,40.0,1,2,2,0,0,2,0,0,1,0,3,2,1,2,5,2,5,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.5,-0.6666666666666666,0,0,0,113.0,1,2,0,2,0,3,3,0,0,0,3,3,3,3,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1.1,0.0,1,0,0,157.0,0,0,1,0,0,3,0,0,2,1,0,2,3,1,2,0,7,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.9,0.6666666666666666,1,1,1,160.0,2,1,0,2,0,1,0,0,0,0,3,2,0,3,7,6,6,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2.2,1.0,1,1,1,109.0,2,1,3,1,1,1,1,2,1,3,1,2,1,2,5,4,8,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.3,0.3333333333333333,1,0,1,175.0,3,1,1,0,0,1,1,0,0,0,2,3,1,3,4,6,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.5,-0.6666666666666666,1,0,1,110.0,2,1,0,0,0,0,0,0,0,0,1,2,1,3,6,2,3,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.3333333333333333,1,0,1,162.0,1,0,1,0,0,1,2,0,0,2,0,2,0,1,8,2,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
0.1,2.3333333333333335,1,0,1,189.0,1,3,0,3,0,0,1,0,0,0,3,1,0,2,9,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.1,0.0,0,0,1,121.0,1,2,3,0,0,2,0,1,0,2,0,2,0,2,0,3,7,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1.0,-0.3333333333333333,0,0,1,200.0,1,1,0,1,0,1,1,0,0,1,2,2,0,3,8,9,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,0.3333333333333333,1,0,1,105.0,2,0,0,0,0,2,2,1,0,0,2,2,1,3,4,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.6,1.6666666666666667,1,0,0,193.0,0,0,0,0,0,0,0,0,0,0,2,1,0,3,8,7,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.3,-0.3333333333333333,0,1,1,149.0,0,0,1,0,0,2,0,0,0,0,3,2,0,3,3,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.4,-0.8333333333333334,0,1,0,140.0,3,0,0,0,1,0,2,0,2,0,1,1,1,3,1,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4,0.6666666666666666,1,0,1,134.0,0,1,0,0,0,2,0,0,0,1,3,2,2,3,10,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.7,-0.6666666666666666,0,0,1,120.0,1,0,3,2,0,0,0,0,0,1,1,1,0,2,6,6,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.1,0.0,1,0,1,170.0,0,0,1,0,0,1,0,2,0,1,1,2,2,3,6,7,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.0,-0.3333333333333333,1,1,1,107.0,2,1,0,3,0,0,1,0,0,1,3,1,0,2,8,4,10,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
2.0,0.0,1,0,0,113.0,2,0,1,1,1,3,2,1,1,0,1,3,3,3,9,7,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.1,-0.3333333333333333,1,1,1,126.0,0,0,2,0,0,1,0,0,0,0,0,3,0,3,7,4,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1.3,0.3333333333333333,1,0,1,161.0,1,0,2,0,0,2,1,0,0,0,3,1,0,2,6,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0.0,0.0,1,0,1,40.0,2,1,0,2,0,0,0,0,0,0,3,3,0,3,10,0,10,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0.2,-0.3333333333333333,1,0,1,100.0,1,0,0,1,0,0,0,0,0,2,3,1,0,2,6,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
-0.5,0.0,0,0,0,140.0,1,0,0,0,0,2,1,0,1,0,0,3,2,0,7,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.2,0.3333333333333333,1,0,1,156.0,1,1,1,1,0,2,1,1,0,0,1,3,1,2,7,10,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0.1,-0.3333333333333333,1,1,1,98.0,2,0,0,1,0,2,2,0,2,1,1,3,2,3,8,6,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.2,1.6666666666666667,1,0,1,100.0,3,0,1,0,0,2,2,3,0,3,0,3,2,1,4,3,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0.2,0.3333333333333333,1,0,1,78.0,1,0,2,2,0,3,1,3,2,3,1,3,3,2,7,6,7,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0.2,-0.3333333333333333,0,1,0,117.0,0,0,1,0,0,1,1,0,0,0,3,0,0,2,7,3,2,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
